Sample Size:	130.0	56.0	52.0	100.0	60.0	37.0	44.0	31.0	31.0	56.0	54.0	87.0	88.0	86.0	132.0	152.0	216.0	172.0	124.0	98.0	40.0	32.0	32.0	42.0	28.0	22.0	15.0	34.0	31.0	37.0	42.0	92.0	70.0	92.0	136.0	135.0	99.0	111.0	148.0	237.0	148.0	78.0	96.0	75.0	40.0	51.0	81.0	80.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009009	0.0	0.0	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0307692	0.0178571	0.0	0.01	0.0666667	0.0	0.0681818	0.0	0.0	0.0357143	0.0185185	0.0344828	0.0340909	0.0232558	0.0454545	0.0065789	0.0277778	0.0116279	0.0015	0.0102041	0.025	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.018018	0.0743243	0.1265823	0.4864865	0.0769231	0.1770833	0.0533333	0.025	0.0392157	0.0617284	0.125	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0897436	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.2461538	0.4821429	0.3076923	0.33	0.25	0.4594595	0.3636364	0.3548387	0.483871	0.5357143	0.4444444	0.3793103	0.5113636	0.5	0.5227273	0.4934211	0.4722222	0.4825581	0.5080645	0.5102041	0.2	0.28125	0.28125	0.2619048	0.3928571	0.1818182	0.3333333	0.2647059	0.2903226	0.1081081	0.1666667	0.0978261	0.1	0.1086957	0.1323529	0.2148148	0.0606061	0.3783784	0.3310811	0.4894515	0.6216216	0.4358974	0.4270833	0.4133333	0.425	0.3333333	0.1975309	0.4625	
Mute Swan	0.0076923	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0185185	0.0	0.0	0.0232558	0.0015	0.0065789	0.0	0.0116279	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0238095	0.0	0.0	0.0108696	0.0	0.0	0.0	0.0	0.0	0.0253165	0.0067568	0.025641	0.0520833	0.0533333	0.075	0.0	0.0	0.0125	
Wood Duck	0.0769231	0.0535714	0.0576923	0.02	0.05	0.0540541	0.0681818	0.1290323	0.1612903	0.0178571	0.0185185	0.0229885	0.0568182	0.1046512	0.0681818	0.0065789	0.0092593	0.005814	0.0887097	0.1632653	0.025	0.03125	0.0625	0.0238095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0108696	0.0	0.0222222	0.0606061	0.0990991	0.1148649	0.021097	0.0405405	0.1153846	0.0729167	0.1066667	0.15	0.0784314	0.0987654	0.1875	
Northern Shoveler	0.1153846	0.1964286	0.2307692	0.21	0.15	0.2162162	0.2045455	0.2258065	0.3225806	0.3214286	0.3333333	0.1264368	0.2159091	0.0348837	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0296296	0.020202	0.1351351	0.1081081	0.0675105	0.1216216	0.2051282	0.21875	0.2133333	0.25	0.2352941	0.1358025	0.3875	
Gadwall	0.1230769	0.1607143	0.0769231	0.05	0.0833333	0.1081081	0.1590909	0.0322581	0.1935484	0.1785714	0.0925926	0.0574713	0.1363636	0.0930233	0.1212121	0.1052632	0.0416667	0.0174419	0.0080645	0.0102041	0.025	0.03125	0.03125	0.0714286	0.0714286	0.0909091	0.0	0.0	0.0322581	0.027027	0.0	0.0108696	0.0142857	0.0217391	0.0147059	0.1555556	0.2121212	0.2522523	0.0675676	0.0506329	0.0945946	0.1025641	0.1458333	0.16	0.1	0.0980392	0.1358025	0.225	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042194	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0123457	0.0	
Mallard	0.3692308	0.5178571	0.4038462	0.37	0.3333333	0.6216216	0.5	0.4516129	0.6774194	0.5892857	0.6296296	0.5517241	0.7159091	0.6860465	0.6060606	0.6644737	0.6111111	0.6511628	0.6290323	0.5816327	0.425	0.40625	0.4375	0.5238095	0.3571429	0.3181818	0.2666667	0.3823529	0.3225806	0.3783784	0.4047619	0.3478261	0.5	0.5543478	0.4705882	0.5925926	0.4545455	0.5225225	0.5135135	0.5527426	0.6891892	0.3974359	0.5729167	0.6533333	0.7	0.5882353	0.4197531	0.625	
Mallard (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009009	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
American Black Duck	0.0769231	0.0892857	0.0769231	0.05	0.0015	0.0810811	0.0227273	0.0322581	0.0	0.0178571	0.0185185	0.0	0.0227273	0.0015	0.0	0.0328947	0.0	0.0116279	0.0	0.0204082	0.025	0.0	0.09375	0.0238095	0.0357143	0.0	0.0666667	0.0294118	0.0322581	0.027027	0.0238095	0.0326087	0.0285714	0.0326087	0.0073529	0.0296296	0.010101	0.009009	0.027027	0.2067511	0.4459459	0.0897436	0.1666667	0.04	0.1	0.0392157	0.1111111	0.225	
Mallard x American Black Duck (hybrid)	0.0153846	0.0178571	0.0	0.01	0.0	0.027027	0.0	0.0	0.0	0.0178571	0.0	0.0	0.0227273	0.0232558	0.0227273	0.0	0.0092593	0.005814	0.016129	0.0	0.0	0.03125	0.0	0.0	0.1428571	0.0	0.0	0.0	0.1290323	0.0	0.0	0.0326087	0.0	0.0434783	0.0367647	0.037037	0.030303	0.045045	0.0135135	0.0042194	0.027027	0.025641	0.0208333	0.0133333	0.0	0.0	0.0493827	0.0375	
Northern Pintail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	
Canvasback	0.0076923	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Redhead	0.0076923	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0645161	0.0178571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0296296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Scaup	0.0076923	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater/Lesser Scaup	0.0076923	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0185185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Surf Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0084388	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	
Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0253165	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
scoter sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bufflehead	0.2	0.2321429	0.2115385	0.16	0.2	0.3513514	0.3863636	0.3225806	0.3870968	0.3392857	0.3148148	0.1149425	0.2727273	0.0930233	0.0833333	0.0789474	0.0	0.005814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0126582	0.472973	0.1923077	0.25	0.4133333	0.125	0.1372549	0.1358025	0.35	
Common Goldeneye	0.0	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078	0.037037	0.0875	
